paper,title,datetime,writing,writer
KBS,방문규 “킬러 규제 과감히 폐지…원전 생태계 조기 복원”,2023.09.13. 오전 10:18,"방문규 산업통상자원부 장관 후보자는 “국내 투자 활성화를 위해 입지･환경･노동 등 킬러 규제를 과감히 없애 나가겠다”고 밝혔습니다.  방문규 산업부 장관 후보자는 오늘(13일) 국회 산업통상자원중소벤처위원회가 진행한 인사청문회에서 “글로벌 공급망 재편은 우리나라가 첨단 기술과 제품의 아시아 전진 기지로 자리매김 할 수 있는 기회”라며 이같이 말했습니다.  방 후보자는 우리 첨단산업의 초격차를 이끌어나가겠다며, 이를 위해 국내외 우수인력 확보, 기반시설 공급, 세제･금융 등 필요한 지원을 아끼지 않겠다고도 강조했습니다. 특히, 한･미･일 3국 간 연대를 주축으로 주요국과의 산업･통상 협력을 강화해, 우리 첨단산업의 공급망을 확고히 하겠다고 밝혔습니다.  방 후보자는 에너지 분야와 관련해서는, 탄소 중립과 에너지 안보 강화를 위해 원전 생태계를 조기에 복원하고 에너지 신산업으로 육성하겠다고 말했습니다.  방 후보자는 아울러 2030 부산엑스포는 막대한 부가가치와 고용 창출이 기대되는 국가적 행사라며, 장관으로 임명된다면 취임 직후부터 적극적인 유치 활동을 전개하겠다고 다짐했습니다.[사진 출처 : 연합뉴스]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",장덕수 (joannes@kbs.co.kr)
헤럴드경제,"현대모비스 뇌파 분석 ‘엠브레인’, 안전기술대상 대통령상 수상",2023.09.13. 오후 12:02,"세계 최초 뇌파 기반 운전자 모니터링피곤, 졸음 등 건강 상태 실시간 체크경기도 공공버스 시범 도입, 완성도 입증2023 서울모빌리티쇼 현대모비스 부스에 전시된 뇌파 기반 운전자 모니터링 시스템 ‘엠브레인’을 시연하는 모습. [현대모비스 제공][헤럴드경제=서재근 기자] 현대모비스는 13일 행정안전부 주최로 고양 킨텍스에서 열린 ‘2023 안전산업박람회’ 개막식에서 ‘엠브레인’이 안전기술대상 최고상에 해당하는 대통령상을 수상했다고 밝혔다.엠브레인은 운전자의 뇌파를 분석해 피곤, 졸음, 부주의 등 건강 상태를 실시간으로 체크하는 시스템이다. 운전자의 주의력이 떨어질 경우 운전석 시야 주변의 LED, 진동 시트, 헤드레스트 스피커 등을 활용해 시각, 촉각, 청각 등 다양한 방법으로 경고한다.엠브레인은 소형 이어셋 착용만으로 이 같은 뇌파 분석을 가능하게 했다. 운전자가 오랜 시간 착용해도 불편함이 적도록 뇌파 센서를 소형화하면서도 신호 품질은 높였다.엠브레인은 경기도 공공버스에 시범 도입, 기술 완성도를 입증했다. 경기연구원의 자료에 따르면 엠브레인 착용 후 버스 운행 시 운전 부주의 발생 빈도가 25.3% 줄었다. 2021년 10대로 시작해 올해 300대 보급이 이뤄졌다. 현대모비스는 매년 단계적으로 보급량을 늘려 기술 완성도를 끌어올린다는 계획이다.현대모비스는 ‘사용자의 마음을 읽는’ 엠브레인의 특성에 착안해 아동 심리 상담 지원에도 나섰다. 경기, 인천, 강원 등 전국 6개 아동보호기관에 전달돼 심리 상담에 활용되고 있다.현대모비스 관계자는 “엠브레인은 다가올 자율주행 시대를 맞아 탑승자의 이상 상황 확인과 안전 대처를 통해 ’마음을 읽은 모빌리티 기술’로 진화가 기대된다”며 “엠브레인으로 대표되는 뇌파 기반 기술이 운전자 안전사고 예방, 심리 상담 지원 등 사회적으로 유익하게 쓰일 수 있도록 기술을 고도화하고, 활용 범위를 확대해 나갈 것”이라고 말했다.한편 현대모비스는 생체 신호 중 가장 파악 난이도가 높은 뇌파를 활용한 엠브레인 개발을 통해 올해 초 열린 ‘CES 2023’ 혁신상, 안전산업박람회 혁신부문 우수상을 받았다.",서재근 likehyo85@heraldcorp.com
헤럴드경제,"해수부, 수협·대형마트와 수산물 소비 활성화 업무협약 체결",2023.09.13. 오전 10:06,"[헤럴드경제=홍태화 기자] 해양수산부가 수협중앙회 및 이마트, 롯데마트, 홈플러스, GS리테일 등 대형마트 4개사와 수산물 소비 활성화를 위한 업무협약을 체결한다. 일본 원전 오염수 방류로 수산물 소비가 위축될 수 있다는 우려 때문이다.해수부는 13일 서울 노량진수산시장에서 업무협약을 체결키로 했다며 이날 이같이 밝혔다. 대형마트 4개사와 수협중앙회는 ▷국내산 수산물의 안전성 확보 ▷소비 활성화를 위한 할인 행사 내실화 ▷수산물 소비 동향 파악을 위한 자료 공유 등을 위해 협력한다.해수부는 일본 원전 오염수 방류 이후 국내 수산물 소비 활성화를 위해 예비비 800억원을 추가 투입해 수산물 할인 행사 개최, 전통시장 온누리상품권 환급 행사 상시 시행, 제로페이 상품권 발행 확대 등 사업을 펼치고 있다.특히 온오프라인 유통업체가 참여하는 수산물 할인 행사는 정부 할인율을 20%에서 30%로 확대하고, 1인당 할인 한도도 1만원에서 2만원으로 올렸다.조승환 해수부 장관은 ""이번 협약을 계기로 정부와 민간이 힘을 합쳐 수산물 소비가 위축되지 않도록 최선을 다하겠다""고 말했다.",홍태화 th5@heraldcorp.com
서울신문,"‘성과급 400%+1050만원’…현대車, 임단협 잠정합의",2023.09.12. 오후 9:34,"현대자동차 노사 교섭대표들이 지난 6월 13일 현대차 울산공장 본관 동행룸에서 ‘2023년 임금협상 상견례’를 하고 있다. 2023.6.13 현대차 제공현대자동차 노사가 12일 기본급 11만 1000원 인상과 기술직 추가 신규 채용 등을 담은 올해 임금 및 단체협약에 잠정 합의했다. 잠정 합의안에 대해 노조는 오는 19일 조합원 찬반 투표를 진행해 확정 절차를 밟을 예정이다. 그대로 확정될 경우 5년 연속 무분규 임단협 타결이다.노사는 이날 울산공장에서 열린 23차 교섭에서 잠정합의안을 도출했다고 밝혔다.잠정합의안은 기본급 11만 1000원(호봉승급분 포함) 인상, 성과금 400%+1050만원, 주식 15주, 재래시장상품권 25만원 등을 담았다. 특별격려금 250만원과 사업 목표 달성 격려금 100% 등도 지급한다. 이와 별도로 2년에 걸쳐 기술직(생산직) 신규 추가 채용(1100명 상당) 등에도 합의했다. 기본급과 성과금 모두 역대 최고 인상 안이다.견해차가 크던 정년 연장 논의와 관련해선 정부 정책과 법 개정 등을 지켜본 후 내년 상반기 다시 논의하기로 했다.		",최재헌 기자
뉴스1,이름만 바뀐 ‘어린이보험’을 바라보는 세 가지 시선,2023.09.13. 오전 6:00,"보험사 “어린이보험 오해 해결”·GA “더 헷갈려”·금감원 “2030 상품 강화”'2023 한강 종이비행기 축제'에 참가한 어린이들이 종이 비행기를 날리고 있다/뉴스1 ⓒ News1 이승배 기자(서울=뉴스1) 박재찬 기자 = 이달부터 어린이보험의 가입연령이 15세로 제한되면서 ‘어른이’보험을 판매해 온 보험사들이 상품 가입연령을 0세부터 최대 40세까지로 하는 상품들을 내놓았다.이를 두고 금융감독원·보험사·영업 현장의 입장이 엇갈렸다. 보험사는 어린이보험에 대한 소비자들의 오해를 해소했다고 평가한 반면 보험영업 현장에서는 비슷한 상품들이 많아져 소비자들은 더 헷갈리게 됐다고 보고 있다. 금감원은 이번에 선보인 상품 간의 차별성이 크지 않은 점은 인정하면서도 장기적으로 2030세대를 겨냥한 상품의 경쟁력이 강화될 계기가 될 것으로 기대하고 있다. 13일 보험업계에 따르면 최근 주요생명·손해보험사들이 0세부터 40세까지 가입이 가능한 보험상품 개정·출시에 나서고 있다.  이는 지난 7월 금감원이 어린이보험, 단기납 종신보험, 운전자보험을 보험사의 건전성을 악화시키고 불완전판매 등으로 인한 소비자 피해를 유발하는 상품으로 지목하고 상품 개정 명령을 했기 때문이다. 당시 금감원은 어린이보험에 대해 발병률이 적은 뇌·심혈관 질환 등 어린이에게 불필요한 성인 담보가 부가하는 등 불합리한 상품 판매가 심화하고 있다고 지적하며, 상품구조 변경을 명령하고 어린이 혹은 자녀보험의 가입연령을 15세로 제한했다. 최근 보험사들은 가입연령 0세부터 최대 40세까지로 하고, 기존 어린이보험과 보장이 거의 같은 상품들을 선보였다. 이 상품들은 기존의 ‘어린이보험’이라는 상품명에서 ‘어린이’라는 단어를 빼고 대신 ‘건강·종합보험’이라는 용어로 대체했다. 보험사별로는 현대해상(굿앤굿스타종합보험), 농협손해보험(굿스타트건강보험)이 0~30세까지 가입가능한 상품을 선보였고, KB손해보험(금쪽같은 희망플러스), 하나손해보험(하나로 시작하는 건강보험) 0~35세, DB손해보험(청춘어람 건강보험) 7~35세, 한화손해보험(1035Young플러스종합보험) 10~35세, 흥국생명(다재다능1540보험) 15~40세, 흥국화재(흥Good 폼나는 MZ보험) 16~35세, 삼성화재 (내돈내삼), 메리츠화재(내mom대로) 16~40세까지 가입가능한 상품을 선보였다.  보험사들은 이번 상품 개선으로 소비자들의 어린이보험에 대한 오해의 소지를 일부 줄였다는 입장이다. 한 손해보험사 관계자는 “소비자들이 이번 개정으로 상품명에 ‘어린이’라는 표현 때문에 오해할 수 있는 부분들을 바로 잡았다”고 말했다.  보험영업 현장에서는 기존 상품과 차이가 거의 없이 상품 종류만 많아져 소비자들의 혼란만 키웠다고 본다. 대형 GA 관리자는 “이 상품들이 성인보험들 보다는 저렴하고 보장범위도 넓어 2030 자녀를 둔 부모들에게는 니즈가 있을 것으로 보인다”면서도 “하지만 보장, 보험료 등이 대동소이하고 기존의 어린이보험과도 차이가 없어 소비자들은 더 헷갈리게 됐다”고 말했다. 금독원은 중장기적으로 어린이보험과 2030보험이 분리돼 추후 보험사들의 상품 경쟁력이 확대될 것으로 보고 있다. 금감원 관계자는 “이번 상품 개정까지 40일 정도밖에 시간이 없어 각 보험사들이 차별화한 상품을 내놓기는 시간이 촉박했다”며 “장기적으로는 이번 상품개정 명령으로 어린이와 2030세대를 분리해 시장 경쟁력이 강화될 것으로 보이고 보험사들도 각 연령별 차별화 된 상품들을 준비하고 있는 것으로 알고 있다”고 말했다.		",박재찬 기자 (jcppark@news1.kr)
중앙일보,국제유가 급등해 10개월 만에 최고…석유 감산에 재고 줄어,2023.09.13. 오전 6:23,"			  산유국의 원유 감산이 계속될 것이란 전망에 국제유가가 급등했다. 세계 경제가 회복세를 보이며 유가는 올해 들어 최고 수준으로 상승하는 중이다.      국내 기름값이 상승하는 가운데 지난 10일 서울의 한 주유소 모습. 연합뉴스           12일(현지시간) 영국 런던 ICE 선물거래소에서 11월 인도분 브렌트유 선물은 배럴당 92.06달러로 전 거래일보다 1.6%(1.42달러) 오른 가격에 거래를 마치며 올해 최고치를 경신했다. 지난해 11월 16일(92.86달러) 이후 가장 높은 수준이다.      뉴욕상업거래소의 10월 인도분 미국 서부텍사스산원유(WTI) 선물 종가도 배럴당 88.84달러로 전날보다 1.8%(1.55달러) 상승했다. 이 역시 지난해 11월 이후 가장 높다.      이날 석유수출국기구(OPEC)는 세계 경제의 회복과 함께 원유 수요도 견조한 흐름을 보일 것으로 예상했다. OPEC은 월간 보고서를 통해 내년 세계 원유 수요가 하루 25만 배럴 증가할 것이라고 내다봤다. 원유 수요가 늘어날 것이란 전망에도 최근 OPEC은 감산을 계속하는 중이다.      지난 5일 사우디아라비아와 러시아는 자발적 공급 감축을 연말까지 연장한다고 밝혔다. 또 지난 9일 OPEC 회원국 리비아에 치명적인 폭우가 내려 동부 석유 수출 터미널 213곳을 폐쇄한 것도 국제유가 상승에 영향을 미쳤다.      미국에서도 원유 재고 감소에 대한 우려가 제기되고 있다. 미 에너지정보청(EIA)은 이날 단기 전망 보고서를 내고, 올해 3분기 세계 원류 재고 감소량이 하루 60만 배럴, 4분기에는 하루 20만 배럴에 이를 것으로 예측했다.      이에 따라 4분기 브렌트유 가격 전망은 기존 배럴당 86달러에서 93달러로 올려 잡았다. EIA는 “향후 몇 달간 간 세계 원유 재고 하락이 유가를 지지할 것”이라고 설명했다.      시장에선 13일 나오는 국제에너지기구(IEA) 발표에도 경계감이 있는 상황이다. 파생상품 중개업체 오안다(OANDA)의 에드워드 모야 수석 연구원은 “유럽과 중국의 경제지표가 개선되기 시작하면 국제 원유시장의 공급이 더 빠듯해질 수 있다”며 “이는 브렌트유가 배럴당 100달러 수준으로 오를 수 있음을 의미한다”라고 분석했다.  ",임성빈 기자 im.soungbin@joongang.co.kr
헤럴드경제,“표본샘플 늘려 사후확인제 실효성 높여야”,2023.09.13. 오전 11:11,"전문가들이 말하는 해법은관련법 속도 내고 기술 개발 독려30가구 미만 미적용 문제도 숙제층간소음을 형상화한 그림으로 기사 내용과는 무관 [연합]이웃 간 갈등을 불러온 층간소음 분쟁이 해마다 늘어나고 있지만 이를 방지하거나 중재하기 위한 법적 장치가 미비한 상황에서 전문가들은 현행 사후확인제의 실효성을 높여야 한다고 지적한다.국토교통부는 지난해 8월 아파트가 준공된 후 층간소음 성능을 평가하고자 사후확인제를 도입했다. 지난 2004년 도입한 층간소음 사전인정제도는 아파트 구조와 바닥 두께보다 바닥 자재에만 초점이 맞춰져 실질적 층간소음 차단에 한계가 있었기 때문이다.하지만 사후확인제는 층간소음 성능 검사 결과가 기준 미달이더라도 지방자치단체장은 시공사에 보완 시공이나 손해배상을 ‘권고’할 수 있을 뿐 강제성이 없다는 문제점을 노출하고 있다.또, 현재 사후확인제도의 표본 샘플은 가구 수의 2%다. 전체 가구 수 대비 턱 없이 적다는 지적이 제기되는데, 실질적인 반영이 이뤄지기 위해선 5% 이상으로 확대해야 한다는 분석이다. 다세대주택 등 30가구 미만의 주택은 미적용되는 점도 해결돼야 한다는 목소리도 나온다.아울러, 층간소음과 관련해 주택법 개정안 등 입법 논의도 속도를 내야 한다는 지적이 나온다. 국회 의안정보시스템에 따르면 층간소음 관련 주택법 개정안은 계류 중인 사안이 2건 있지만 진척을 내지 못하고 있다. 그 중 1건은 지난해 4월 임시회의 상정 이후 1년 5개월 동안 논의 조차 되지 않고 있다.입법부도 법안 통과의 필요성에 대해 공감하지만 해결책을 찾기 어렵단 입장이다. 층간소음 관련 법안을 대표 발의한 김학용 국민의힘 의원실 관계자는 “층간소음과 관련해 명확하게 건축 기준을 합의한 사항이 없는 게 가장 큰 문제”라며 “국민들이 체감할 만한 대책을 내세우기 어렵다”고 토로했다.이에 국토부 등 당국은 층간소음 해소를 위한 방안을 연구 중이다. 국토부는 최근 산·학·연·관 정책협의체를 출범하고 지난 7월27일 첫 회의를 가졌다. 회의에선 공공주택 바닥두께 상향, 시범단지 실증연구와 층간소음 사후확인제 등에 대해 논의한 것으로 알려졌다.한국토지주택공사(LH)와 국토안전관리원 등은 층간소음이 건물 하자로 볼 수 있을 지에 대한 논의를 이어가고 있다. 이에 대한 연구 용역 발주까지 마쳤다. 국토안전관리원 관계자는 “바닥 충격음을 하자로 볼 지 여부와 바닥 마감재의 성능이 불만족 시 배상안 수립 연구, 사후 성능 보강 방안 등에 대한 연구 용역을 진행 중”이라고 말했다.전문가들은 정부 등 기관이 기업에게 기술개발을 지속할 수 있도록 지원할 것을 주문했다. 김경우 한국건설기술연구원 선임연구위원은 층간소음 해결책으로 “개별 요소별 기술개발도 중요하지만 전체 바닥구성(건물구조 포함)에 대한 기술접근이 필요해 보인다”며 “기술개발은 건설사 중심으로 진행되는 것이 바람직하며 지속적인 기술개발을 할 수 있도록 정부 등 기관에서 지원·유도하는 것이 필요하다”고 말했다.이준태·서영상 기자",이준태 Lets_win@heraldcorp.com
뉴시스,8월 취업자 수 26.8만명↑…5개월만에 증가폭 확대(1보),2023.09.13. 오전 8:01,"통계청 '2023년 7월 고용동향' 발표[부산=뉴시스] 하경민 기자 = '2023 부산 우수기업 채용박람회'가 열린 6일 부산 남구 부경대 실내체육관에서 구직자들이 채용정보게시대를 살펴보거나 이력서 등을 작성하고 있다. 2023.09.06. yulnetphoto@newsis.com[세종=뉴시스]용윤신 임하은 기자 = 지난달 취업자 수가 1년 전보다 27만명 가량 늘면서 증가폭이 확대됐다.통계청이 13일 발표한 '2023년 8월 고용동향'에 따르면 지난달 취업자 수는 2867만8000명으로 1년 전보다 26만8000명(0.9%) 늘었다. 증가 규모는 지난 4월(35만4000명), 5월(35만1000명), 6월(33만3000명), 7월(21만1000명)으로 4개월 연속 둔화하다가 지난달 반등했다. 지난 7월 취업자수 증가폭은 지난 2021년 2월(-47만3000명) 이후 2년 5개월 만에 가장 작았는데 지난달 다시 확대한 것이다.15세 이상 인구 중 취업자가 차지하는 비율인 전체 고용률은 63.1%로 전년보다 0.3%포인트(p) 상승했다. 1982년 8월 관련 통계가 작성된 이래 같은 달 기준으로 역대 최대다.경제협력개발기구(OECD) 비교 기준인 15~64세 고용률은 1년 전보다 0.7%p 오른 69.6%로 집계됐다. 8월 기준으로 1989년 1월부터 관련 통계 작성 시작 이후 가장 높다.지난달 실업자는 57만3000명으로 전년 동월 대비 4만1000명(-6.7%) 감소했다. 경제활동인구 중 실업자가 차지하는 비율인 실업률은 2.0%로 1년 전보다 0.1%p 하락했다.이는 1999년 6월 구직기간 기준변경 이래 8월 기준 최저 수준이다.[세종=뉴시스]통계청 2023년 8월 고용동향. *재판매 및 DB 금지",용윤신 기자(yonyon@newsis.com)
한국경제,"신한운용, 800억 '성장지원펀드' 위탁운용사 선정 돌입",2023.09.13. 오전 11:54,"신한자산운용은 13일 성장지원펀드의 위탁운용사 선정을 진행한다고 밝혔다.산업은행이 주도하는 혁신성장펀드는 신산업과 글로벌 유니콘 기업 육성·미래 성장동력 확충 등에 투자하는 대규모 정책펀드로 혁신산업펀드와 성장지원펀드로 구분해 조성된다. 신한자산운용은 앞서 성장지원펀드의 운용사 중 한 곳으로 선정됐다.신한자산운용은 위탁운용금액 총 800억원 이내로 2개의 자펀드 운용사를 선정할 계획이다. 각 펀드별 목표 금액은 2500억원이며 출자 대상은 사모펀드(PEF), 벤처캐피털(VC) 구분 없이 진행된다. 심사 결과는 다음 달 중 발표되고 펀드 결성시한은 12월 말이다.출자 방식은 민간에서 자율적으로 결성한 펀드가 성장지원펀드 조성 취지에 부합하는 경우 매칭 방식으로 출자한다. 이는 올해 초 금융위에서 발표한 '2023년 혁신성장펀드 조성 계획'의 일환이다. 때문에 최근 모험자본 시장이 위축되고 있는 것을 일부 방지할 수 있는 대규모 자금 공급 효과가 기대된다고 회사는 전했다.조성호 신한자산운용 특별자산운용팀장은 ""이번 사업과 더불어 향후 현 정부에서 추진하고 있는 민간모펀드 조성에 적극적으로 참여하겠다는 계획이며 이를 통해 혁신성장 생태계 조성이라는 국정과제 실행에도 일조하겠다""고 말했다.",신민경 한경닷컴 기자 radio@hankyung.com
조선일보,"50년 만기 주담대 40년으로 축소...부부소득 1억 이상, 특례보금자리론 못 받아",2023.09.13. 오후 1:10,"금융 당국, 가계부채 관리 강화 방안 발표							금융 당국이 총부채원리금상환비율(DSR)의 우회 수단으로 지적받은 50년 만기 주택담보대출의 산정 만기를 40년으로 축소한다. 또 낮은 금리의 정책형 주택담보대출 상품인 특례보금자리론을 받을 수 있는 자격 요건도 대폭 강화한다.금융당국이 최근 급증한 가계대출 관리 강화를 위해 최근 인기를 끈 '50년 만기 주택담보대출'을 손본다. 장기 고정금리 정책모기지인 '특례보금자리론'도 서민·실수요층 대상 상품만 유지하기로 했다./뉴스1										금융위원회는 13일 이세훈 사무처장 주재로 기획재정부, 국토교통부, 한국은행, 금융감독원, 주택금융공사, 은행연합회, 금융연구원 등 유관기관과 함께 가계부채 현황 점검회의를 열어 이러한 내용의 가계부채 관리 방안을 발표했다.가장 눈에 띄는 것은 지난 7~8월 규모가 급증한 50년 만기 주택담보대출에 대한 규제다. 정부는 50년 만기 주담대가DSR 규제 우회수단으로 악용되는 것을 예방하기 위해 대출 전 기간에 걸쳐 상환능력이 입증되기 어려운 경우 DSR 산정만기를 최대 40년으로 제한한다고 밝혔다. DSR은 연소득에서 모든 대출금의 원리금 상환액이 차지하는 비율을 가리킨다. 현재 DSR 40% 규제가 적용되고 있다. 실제로 돈을 갚는 기간은 50년으로 적용을 하지만 DSR을 적용해 대출 한도를 구할 때는 40년 만기 상품인 것으로 가정하고 산출하겠다는 것이다. 다만 금융위는 차주 별로 상환 능력이 명백히 입증되는 경우에는 50년 만기를 사용할 수 있도록 운영할 예정이다. 김태훈 금융위원회 거시금융팀장은 “소득으로 벌 수 있는 기간이라든지 확인만 된다면 맞출 수 있는 부분이 있을 것이고, 그 부분은 금융감독원에서 은행권과 얘기를 하면서 조금 더 구체화할 것”이라고 말했다.또 금융위는 특례보금자리론 일반형 공급을 중단하되 우대형의 경우 올해 공급 한도(39조6000억원)를 초과하더라도 공급을 지속한다고 밝혔다. 가계부채가 5개월 연속 증가하면서 정책금융상품인 특례보금자리론은 은행권 초장기 주택담보대출과 함께 대출 증가 요인으로 지적된 바 있다. 또한 지난 8일 기준 특례보금자리론 신청이 37조6000억원으로 올해 공급 목표(39조6000억원) 95.1%에 도달하면서 서민·실수요층에만 공급을 집중해야 한다는 데 의견이 모아졌다. 특례보금자리론을 취급하는 주택금융공사에 따르면 부부합산 소득이 1억원을 초과하거나 주택가격이 6억원을 초과하는 일반형 대상자에 대해서는 오는 26일까지만 신청을 받는다.부부합산 소득 1억원 이하이면서 주택가격이 6억원 이하로 서민·실수요층에 해당하는 우대형은 공급 목표 달성과 무관하게 내년 1월까지 운영을 지속할 방침이다. 8일 기준 유효 신청 현황을 보면 우대형이 21조4965억원으로 전체 공급액(37조6000억원)의 57.1%였고 일반형이 16조1517억원으로 42.9%였다.장기적으로 금융위는 변동금리 대출에 대해서 향후 금리상승 가능성 등을 감안해 보다 엄격한 수준의 DSR 규제가 이뤄질 수 있도록 DSR 산정 시 일정수준 가산금리를 적용하는 스트레스(Stress) DSR 제도를 도입한다는 방침이다. 예컨대 소득 5000만원 차주가 금리 4.5%변동금리로 DSR 40%로 적용해 50년 만기 대출을 받을 시 가산금리를 최대 1%포인트 적용하면 도입 전엔 4억원까지 대출을 받을 수 있지만 도입 후엔 3억4000만원까지만 받을 수 있게 된다. 김태훈 팀장은 “변동금리 대출에 있어서 특히 50년 만기 장기대출은 굉장히 높은 원금금을 장기간 끌고 가는 게 문제가 있고 그 사이에 심각한 금리 변동 위험성에 차주들이 노출이 되게 된다”고 말했다.",김지섭 기자 oasis@chosun.com
YTN,"'해병대 수색' 생존 병사 어머니, 임성근 사단장 고발",2023.09.13. 오후 2:17,"			실종자 수색 작업 과정에서 숨진 채 모 상병과 함께 물에 빠졌다가 구조된 해병대원의 어머니가 임성근 해병대 제1사단장을 고발합니다.A 병장의 어머니는 오늘(13일) 군인권센터에서 기자회견을 열고, 오늘 오후 고위공직자범죄수사처에 임 사단장을 업무상과실치상과 직권남용 혐의로 고발한다고 밝혔습니다.그러면서, 임 사단장과 사령관들은 수색 작업에 투입됐던 대원들을 무사안일과 입신양명을 위한 도구로 생각하느냐며 대한민국 장성들의 태도가 불신만 주고 있다고 비판했습니다.법률 대리인인 강석민 변호사는 입수 명령을 내린 임 사단장에게 과실이 있고, 임무 수행으로 A 병장의 건강권과 생존권이 침해돼 직권남용죄도 성립한다고 지적했습니다.A 병장은 지난 7월 경북 예천의 수해 복구 현장에서 채 모 상병과 함께 물에 빠져 떠내려가다가 구조돼 외상 후 스트레스 장애 진단을 받고 현재 입원 치료를 받고 있습니다.※ '당신의 제보가 뉴스가 됩니다'[카카오톡] YTN 검색해 채널 추가[전화] 02-398-8585[메일] social@ytn.co.kr		",김다현(dasam0801@ytn.co.kr)
헬스조선,"심장 기형 갖고 태어난 미얀마 소년, 서울대병원서 치료 받아",2023.09.13. 오후 2:18,"코코의 수술 경과를 살펴보는 서울대병원 소아흉부외과 김웅한 교수 / 서울대병원 제공서울대병원은 미얀마에서 온 선천적 심장 기형 환아를 두 차례 수술 끝에 성공적으로 치료했다고 13일 밝혔다.2014년생 미얀마 소년 코코는 남들과 다른 심장을 갖고 태어났다. 좌·우심실을 나누는 벽에 구멍이 있었고(심실중격결손), 심실과 폐를 연결하는 폐동맥이 차단돼 심장에서 폐로 가는 혈류가 없었다. 이로 인해 코코의 폐는 대동맥과 폐동맥 사이 좁은 측부혈관에 의지해 혈류를 공급받았다. 코코는 저산소증과 심부전 발생 위험 때문에 달리기는커녕 천천히 걷는 것조차 어려웠다.치료를 위해서는 여러 수술을 거쳐야 했는데, 폐 주변 혈관이 잘못 발달하는 등 변수가 생기면 다음 단계 수술이 불가능할 수 있어 경과를 면밀히 관찰하고 다음 수술 계획을 세워야 하는 복잡한 상황이었다. 그마저도 현지 의료 환경과 가정 형편상 수술을 받기 어려워 치료하지 못한 채 어려운 생활을 이어갔다.이 같은 사연을 접한 장철호 선교사는 서울대병원 해외 환아 초청 수술 사업과 연계해 코코가 국내에서 수술 받을 수 있도록 도왔다. 코코는 2019년 11월 한국을 방문해 서울대병원 소아흉부외과 김웅한 교수, 소아청소년과 김기범 교수로부터 대동맥 분지에서 폐동맥으로 6mm 크기 인공 도관을 연결해 혈류를 유지하는 수술을 받았다. 서울대병원과 서울의대 이종욱 글로벌의학센터, NGO단체 사단법인 ‘더투게더’를 비롯한 여러 기관의 도움이 있었기에 가능했다.성공적으로 수술을 받고 본국으로 귀국한 코코는 심장 발달 경과를 지켜본 후, 우심실에서 폐동맥을 거쳐 폐로 이동하는 정상심장과 동일한 혈류의 흐름을 만들기 위한 후속 수술을 계획하기로 했다. 당초 코로나19로 인해 수술이 어려웠으나, 하늘길이 다시 열리면서 서울대병원으로 초청돼 2차 수술을 받을 수 있었다.입원 후 심장 CT와 심도자 시술, 혈관 촬영술을 실시한 결과, 코코의 심장은 올바른 방향으로 자라고 있었다. 의료진은 지난달 11일 수술을 통해 불필요한 대동맥 측부혈관을 막고, 우심실과 폐동맥 사이에 판막이 있는 20mm 크기 인공 도관을 연결했다. 또한 심실중격결손을 막고 늘어나있는 상행대동맥 크기를 줄였다.지난달 14일 코코는 회복 상태가 좋아 중환자실에서 일반 병실로 전동됐다. 이후 약 일주일 입원한 뒤 후속 치료가 필요 없을 것으로 판단돼 22일 퇴원했다. 현재는 본국으로 돌아간 상태다. 김웅한 교수는 “성공적인 후속 수술을 통해 코코에게 건강한 삶을, 코코의 가족들에게는 희망을 선물할 수 있어 기쁘다”고 말했다.",전종보 기자  jjb@chosun.com
